sent_compound,x,y
0,-14916.97534,6714670.831698569
0,-14916.94071,6714670.823994569
0,-14916.93345,6714670.807677568
0,-14916.95318,6714670.805564568
0.9624,-14916.98427,6714670.805831568
0.9624,-14916.97723,6714670.803703568
0.9624,-14916.98744,6714670.810392569
0.9624,-14916.97173,6714670.803745569
0.9624,-14916.98278,6714670.801707569
0.9624,-14916.97842,6714670.809756569
0.9624,-14916.98143,6714670.804004569
0.9624,-14916.98057,6714670.810121568
0,-14916.96778,6714670.823727569
0,-14916.94055,6714670.823870569
0,-14916.89758,6714670.873434569
0,-14916.90328,6714670.873256569
0,-14917.01736,6714670.806567568
0,-14916.99666,6714670.802767568
0,-14916.90454,6714670.864875568
0,-14916.90423,6714670.863267568
0,-14916.8904,6714670.861517568
0,-14916.89155,6714670.861089569
0,-14916.97234,6714670.779453568
0,-14916.88983,6714670.8624255685
0,-14916.95691,6714670.823118568
0,-14916.89957,6714670.869584569
0,-14916.90099,6714670.869817568
0,-14916.98755,6714670.810156568
0,-14916.90474,6714670.866675569
0.7639,-14916.9485,6714670.801559568
0,-14916.90044,6714670.870509569
0,-14916.90099,6714670.869809568
0,-14916.9042,6714670.865164569
0,-14916.90559,6714670.873375569
0,-14916.90803,6714670.873014568
0,-14916.91259,6714670.869498569
0,-14916.91333,6714670.869139568
0,-14916.89064,6714670.861495568
0,-14916.88972,6714670.862211568
0,-14916.88861,6714670.863659568
0,-14916.88889,6714670.863598568
0,-14916.96931,6714670.805373568
0,-14916.89203,6714670.861406568
0,-14916.88945,6714670.861881568
0,-14916.91283,6714670.869381568
0,-14916.91313,6714670.869225568
0,-14916.90003,6714670.870689568
0,-14916.89943,6714670.869784568
0,-14916.95728,6714670.876612568
0,-14916.9386,6714670.873892568
0.4191,-14916.96966,6714670.8242345685
0,-14916.93846,6714670.873995569
0,-14916.93148,6714670.802622569
0,-14916.93841,6714670.873945569
0,-14916.92799,6714670.873187568
0,-14916.90364,6714670.868564568
0,-14916.96671,6714670.803128568
0,-14916.93373,6714670.825981569
0,-14916.91236,6714670.869650569
0,-14917.01564,6714670.801041569
0,-14916.96444,6714670.826099568
0,-14916.96474,6714670.825859568
0.7906,-14916.94032,6714670.813873569
0,-14916.97119,6714670.802409569
0,-14916.9593,6714670.826134568
0,-14916.92414,6714670.872606568
0,-14916.92418,6714670.872539569
0,-14916.92791,6714670.873237568
0,-14916.9279,6714670.873231568
0,-14916.96024,6714670.826598569
0,-14916.96283,6714670.7827085685
0,-14916.95886,6714670.7828285685
0,-14916.98704,6714670.8037175685
0.8519,-14916.96994,6714670.8241145685
0,-14916.98659,6714670.803677568
0,-14916.98688,6714670.804011568
0,-14916.948,6714670.801753568
0,-14916.95599,6714670.782534569
0,-14916.96994,6714670.778629568
0,-14916.96971,6714670.780106569
0,-14916.93319,6714670.823431568
0,-14916.95974,6714670.825536569
0,-14916.96009,6714670.8262485685
0.4215,-14916.98607,6714670.784552569
0,-14916.96585,6714670.779131568
0.25,-14916.98624,6714670.8063125685
0.9485,-14916.94371,6714670.801868568
0,-14916.97073,6714670.833161568
0,-14916.97395,6714670.828035569
0,-14916.94134,6714670.8006535685
0,-14916.94601,6714670.784578568
-0.1045,-14917.0325,6714670.793004569
0.8744,-14916.98712,6714670.809878568
0,-14917.02817,6714670.804803568
0,-14916.94772,6714670.801940569
0,-14916.97349,6714670.781142568
0,-14916.9662,6714670.826513568
0,-14916.97292,6714670.8287005685
0,-14916.97149,6714670.858925568
0,-14916.97071,6714670.781061568
0,-14916.97082,6714670.781355568
0,-14916.94067,6714670.824642568
0,-14916.97215,6714670.7813025685
0.3612,-14916.94154,6714670.802559569
0,-14916.89891,6714670.803575568
0,-14916.97204,6714670.7794045685
0,-14916.94186,6714670.802350569
