NUMPOINTS,X,Y
1747,-16975.99177,7229789.739262569
528,-16234.52177,7229705.519262568
1448,-15928.96177,7229799.999262569
46,-16339.34177,7229681.929262568
189,-16691.14177,7229801.849262568
480,-15709.88177,7229873.939262568
741,-15687.56177,7229928.289262569
1326,-15688.02177,7229965.319262568
1102,-15675.67177,7230073.549262568
402,-15696.48177,7229903.579262569
273,-16698.01177,7229807.089262568
1477,-15688.98177,7229922.849262568
621,-16268.10177,7229759.159262569
1006,-16475.40177,7229635.769262568
168,-16973.74177,7229772.889262568
399,-16202.76177,7229718.649262568
2591,-15921.73177,7229749.959262568
659,-17010.54177,7229832.839262568
637,-17006.67177,7229835.579262569
3945,-16397.81177,7229758.199262569
175,-17002.06177,7229838.289262569
1473,-16270.27177,7229506.969262568
862,-16682.65177,7229782.629262568
292,-17018.15177,7229798.329262569
97,-16186.35177,7230367.539262569
87,-16177.73177,7229978.909262569
202,-16807.23177,7229776.429262568
148,-16908.72177,7229765.409262569
565,-15928.23177,7229609.199262569
606,-16300.18177,7230036.409262569
203,-16712.28177,7229814.169262568
1736,-16378.07177,7229703.779262569
1631,-15732.97177,7229880.319262568
370,-15937.79177,7229845.409262569
251,-16905.07177,7229753.989262569
215,-16834.80177,7229642.879262568
692,-16992.19177,7229813.189262568
643,-16995.73177,7229815.059262568
286,-16926.10177,7229763.739262569
241,-16925.99177,7229763.339262568
180,-16873.64177,7229791.249262569
234,-17015.58177,7229830.609262568
478,-16328.42177,7230106.399262568
203,-16976.74177,7229789.159262569
466,-15694.45177,7229909.729262568
106,-16188.76177,7229729.159262569
621,-15692.09177,7229865.739262569
238,-16437.72177,7229832.199262569
144,-16895.07177,7229718.129262568
595,-15685.86177,7229982.399262568
1923,-16717.75177,7229818.889262568
407,-16376.79177,7229561.389262568
417,-15689.20177,7229858.019262568
230,-16166.29177,7229719.929262568
4866,-16215.32177,7229701.639262568
109,-16685.76177,7229604.209262568
524,-15712.03177,7229857.869262569
404,-16994.98177,7229579.029262569
285,-16435.79177,7229688.039262569
6120,-16313.27177,7229727.149262568
175,-16295.31177,7229571.049262568
151,-16919.88177,7229764.829262569
370,-15663.13177,7230082.989262569
614,-16348.47177,7230008.219262568
978,-15931.76177,7229796.659262569
5640,-16359.30177,7229857.809262568
5066,-16291.38177,7229858.409262569
1101,-16129.27177,7230281.629262568
5594,-16342.02177,7229785.439262568
6193,-16343.85177,7229781.499262569
156,-16114.59177,7229742.629262568
352,-15755.61177,7229866.099262568
44,-16834.05177,7229508.719262568
4385,-16350.07177,7230022.529262569
1158,-15632.33177,7229929.079262569
746,-16989.19177,7229687.089262568
183,-16895.42177,7229709.719262568
54,-16589.54177,7229498.879262568
4049,-16342.67177,7229747.409262569
4010,-16309.84177,7229768.719262568
248,-16147.51177,7229856.609262568
29,-15632.20177,7229837.739262569
350,-15796.58177,7229878.979262568
150,-16747.31177,7229732.619262569
246,-16358.46177,7230001.809262568
3483,-16049.77177,7229885.309262568
1013,-16270.78177,7229720.679262568
1479,-17068.79177,7229448.359262568
431,-15644.67177,7230386.379262568
61,-16623.36177,7229669.409262569
102,-15852.34177,7229742.099262568
80,-15849.29177,7229743.879262568
1920,-16342.99177,7229747.279262569
1617,-15670.21177,7230108.269262568
2970,-15721.36177,7229881.669262568
5596,-16234.09177,7229742.039262569
6075,-16243.43177,7229740.109262568
848,-16008.48177,7229813.739262569
153,-15766.20177,7230140.409262569
3341,-15752.58177,7229731.959262568
407,-15633.19177,7229867.489262569
5429,-16213.06177,7229698.709262568
45,-16138.72177,7229740.259262568
92,-15750.29177,7229720.099262568
159,-16053.31177,7229622.979262568
1261,-16189.26177,7229713.709262568
604,-16157.92177,7229768.219262568
110,-15846.62177,7229744.239262569
170,-16183.48177,7229691.519262568
113,-15850.54177,7229814.799262568
101,-16340.24177,7229629.699262569
93,-16650.52177,7229588.349262568
150,-16645.90177,7229589.209262568
2425,-15911.05177,7229696.809262568
2284,-15621.20177,7229872.909262569
2288,-15621.29177,7229872.849262568
689,-15967.10177,7229959.649262568
701,-16884.40177,7229613.569262568
17550,-16500.70177,7229858.809262568
965,-15508.82177,7229891.379262568
460,-15632.44177,7229858.009262568
3407,-16695.01177,7229804.469262568
85,-15696.93177,7229888.349262568
1226,-16888.56177,7229614.799262568
5121,-16328.18177,7229696.369262569
575,-15489.62177,7229788.049262568
181,-16228.73177,7229751.239262569
3241,-15753.76177,7229745.169262568
424,-16261.99177,7229741.979262568
1802,-15762.18177,7229713.379262568
1022,-16284.09177,7229881.989262569
44,-16137.44177,7229739.749262569
545,-16840.31177,7229624.739262569
